"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","空フィールドで描画エラーが起きないこと","ユニットテスト","Mon Feb 16 05:21:14 UTC 2026","passed","Mon Feb 16 05:21:14 UTC 2026","","Client","",""
"","6020","Result画面にスコア値が表示されること","chromium","Mon Feb 16 05:25:53 UTC 2026","passed","Mon Feb 16 05:25:59 UTC 2026","リマッチフロー完全検証","rematch-full.spec.ts","",""
"","0","3人追加で1マッチ成立 + 1人待機であること","ユニットテスト","Mon Feb 16 05:21:23 UTC 2026","passed","Mon Feb 16 05:21:23 UTC 2026","","Server","",""
"","1","returns JLSTZ kick data for other minos","ユニットテスト","Mon Feb 16 05:21:20 UTC 2026","passed","Mon Feb 16 05:21:20 UTC 2026","","Client","",""
"","1","has all required actions","ユニットテスト","Mon Feb 16 05:21:11 UTC 2026","passed","Mon Feb 16 05:21:11 UTC 2026","","Shared","",""
"","1","sendGameOver が送信されること","ユニットテスト","Mon Feb 16 05:21:13 UTC 2026","passed","Mon Feb 16 05:21:13 UTC 2026","","Client","",""
"","35269","対戦中にブラウザを閉じると相手がWINになること","E2Eテスト","Mon Feb 16 05:28:01 UTC 2026","passed","Mon Feb 16 05:28:37 UTC 2026","切断テスト（拡張）","disconnect-battle.spec.ts","",""
"","1","ReceiveGarbage イベントでハンドラが呼ばれること","ユニットテスト","Mon Feb 16 05:21:13 UTC 2026","passed","Mon Feb 16 05:21:13 UTC 2026","","Client","",""
"","1","reset で初期状態に戻ること","ユニットテスト","Mon Feb 16 05:21:18 UTC 2026","passed","Mon Feb 16 05:21:18 UTC 2026","","Client","",""
"","0","ライン消去でスコアが加算されること","ユニットテスト","Mon Feb 16 05:21:13 UTC 2026","passed","Mon Feb 16 05:21:13 UTC 2026","","Client","",""
